n,k,count
179,9,164
59,59,1485
66,66,1806
171,159,432
143,108,22
168,153,269
66,26,6
126,92,15
128,111,21
134,130,95
41,18,3
43,25,9
28,0,3117
73,33,9
68,42,9
69,42,8
68,27,7
68,41,5
50,0,9229
65,52,8
40,0,7691
27,27,355
27,0,2678
26,26,349
25,0,2355
25,25,395
42,42,1003
29,29,534
46,28,7
160,126,125
161,17,113
55,55,1357
42,22,3
87,87,2776
163,17,145
64,64,1627
163,114,193
171,26,216
175,15,254
159,158,702
166,142,230
169,136,168
144,139,92
166,96,68
159,36,123
77,1,108
83,1,111
105,87,12
160,50,160
88,25,6
89,88,120
88,88,2758
84,78,17
154,57,70
155,85,104
156,95,105
164,51,146
167,53,104
162,48,165
177,171,872
160,103,141
164,52,164
164,61,148
183,6,14
168,6,333
160,107,141
156,96,104
155,50,77
160,49,157
162,84,156
161,85,172
165,117,179
161,30,157
169,112,44
165,55,145
159,79,144
126,10,25
116,35,9
117,117,4930
106,23,12
163,19,153
160,115,143
159,23,88
159,75,133
157,85,132
165,163,648
157,22,64
128,19,20
163,152,167
149,45,34
135,11,23
136,126,26
114,8,23
110,25,10
110,8,18
130,2,153
164,27,203
147,34,49
138,111,24
139,136,153
134,110,24
132,105,19
133,27,17
133,28,16
123,97,14
119,66,11
119,53,14
120,66,10
121,50,15
133,1,295
134,132,185
124,56,12
124,47,8
144,118,35
148,76,42
162,69,179
120,42,10
120,78,20
121,78,20
125,44,18
121,88,20
135,133,147
172,146,184
177,162,137
121,3,93
155,71,76
168,142,269
172,26,150
125,56,16
125,69,18
132,83,16
121,55,16
154,151,223
155,153,334
102,26,10
180,166,23
124,58,16
118,68,14
121,68,15
127,57,14
129,53,22
183,178,30
170,45,63
128,75,16
166,27,211
136,3,122
131,58,15
131,73,17
144,17,24
136,8,44
132,15,23
140,139,302
132,18,21
138,10,27
135,3,137
128,93,13
130,96,23
127,55,18
98,98,3580
73,71,34
74,2,28
89,89,2939
64,24,6
138,73,17
148,2,235
126,1,240
124,123,197
56,1,55
127,30,14
126,24,20
164,163,998
164,3,456
161,33,146
177,149,12
128,4,82
126,39,17
121,93,11
173,45,17
121,62,11
137,21,23
153,14,29
123,67,18
160,23,121
164,2,560
158,64,125
160,12,128
167,130,188
124,37,12
167,72,61
133,60,14
161,18,110
159,105,172
169,35,154
159,58,149
161,90,165
157,59,126
160,97,163
146,89,27
170,24,278
161,79,157
120,105,16
119,16,18
86,31,5
84,80,24
117,96,8
100,76,9
120,106,21
118,22,12
117,22,9
160,21,118
140,136,99
129,55,14
169,104,29
165,5,262
171,132,65
151,74,63
174,15,286
99,85,12
102,38,5
108,91,16
163,115,197
163,111,152
167,73,52
103,50,2
144,84,20
134,95,22
131,89,17
51,51,1367
52,51,57
51,1,48
55,54,56
57,56,57
133,95,23
65,61,17
156,36,71
159,122,119
153,34,47
105,2,86
94,37,13
98,4,29
100,2,85
123,84,20
130,123,31
120,87,12
123,46,17
156,114,72
160,116,185
158,37,105
158,40,98
160,62,153
160,73,161
150,87,33
160,45,144
157,56,110
166,61,108
111,18,16
79,9,7
110,16,23
159,77,157
164,77,122
152,21,43
158,42,117
176,154,70
162,64,137
161,63,149
165,46,168
127,10,30
120,81,13
161,62,174
160,74,142
159,85,142
38,24,3
161,14,74
161,151,115
182,179,487
178,158,33
154,38,60
162,92,170
170,155,324
177,11,261
73,73,2138
61,61,1648
57,57,1354
56,56,1416
58,58,1383
154,120,70
168,136,199
167,46,125
135,132,134
136,133,149
131,110,13
159,117,127
153,144,72
152,136,43
156,151,160
167,134,236
170,160,418
160,85,154
161,37,137
164,130,165
170,35,136
57,55,27
52,49,8
54,54,1348
170,124,49
169,128,124
170,144,240
172,128,38
171,128,41
172,129,34
165,126,181
163,110,141
135,62,18
137,46,16
136,97,20
148,15,30
155,88,90
161,150,157
156,73,88
156,86,106
165,74,113
166,106,90
166,32,207
159,74,168
105,105,3900
165,26,219
164,80,125
181,5,248
166,11,258
163,72,160
162,61,164
168,130,150
163,161,520
166,110,117
167,129,185
168,110,61
161,39,156
166,160,260
161,143,105
141,6,66
167,166,1328
168,158,346
172,12,461
170,151,330
169,151,302
169,153,257
175,162,323
171,153,362
162,35,169
166,14,228
168,155,360
166,15,182
168,150,293
162,7,147
143,140,181
171,157,422
170,145,247
184,4,11
184,175,1
181,8,60
166,135,234
168,46,101
164,43,178
146,1,434
150,89,40
149,51,32
113,50,18
162,109,142
143,114,22
152,3,235
158,107,109
164,126,191
162,160,481
109,73,11
102,29,12
106,77,18
95,93,69
91,30,8
93,87,24
95,58,15
105,52,13
110,105,38
122,118,58
161,53,161
132,5,67
171,31,142
154,43,75
165,34,187
162,51,161
163,112,192
162,39,197
156,112,98
157,45,114
163,15,106
160,51,131
145,103,28
148,39,33
156,46,89
151,47,44
156,110,83
157,107,111
156,105,73
157,108,109
157,112,104
163,54,160
159,114,145
159,107,139
159,106,163
153,111,58
155,102,70
160,43,149
157,44,118
158,106,134
131,1,289
131,130,290
89,1,121
135,117,25
178,12,138
85,76,8
165,90,101
178,165,158
180,169,46
179,6,491
102,78,13
164,44,185
167,124,156
167,43,157
179,163,29
174,10,530
170,92,15
167,91,50
167,49,104
172,167,932
180,174,263
169,123,84
171,156,364
171,120,41
172,119,14
162,80,161
84,12,11
87,81,12
81,59,11
110,91,18
122,113,29
93,91,57
123,105,19
152,61,54
163,91,149
162,78,164
166,80,64
164,136,192
180,5,496
173,148,141
162,103,184
174,26,99
181,173,53
166,58,106
133,71,23
168,137,194
161,70,180
166,57,109
176,148,44
170,116,25
157,3,278
169,21,282
171,6,639
168,115,58
164,49,170
167,51,129
180,8,127
90,8,8
86,2,51
160,10,99
156,85,108
126,123,106
122,32,17
120,44,11
123,6,45
128,113,18
147,70,33
126,106,20
106,91,10
178,7,472
183,180,139
150,6,76
176,151,52
160,90,168
159,69,171
165,10,242
158,89,138
153,69,68
154,67,70
159,73,149
170,18,315
159,70,174
158,87,158
168,69,41
152,95,38
159,57,150
167,157,300
158,25,65
107,104,83
108,105,65
146,72,27
166,28,254
154,69,75
162,132,160
164,54,163
161,7,127
161,154,143
142,107,25
144,108,24
145,33,27
155,114,67
150,86,30
154,42,64
151,110,50
145,69,32
148,27,27
161,44,158
152,148,166
165,7,223
157,78,132
168,157,350
157,13,62
143,79,23
158,13,81
165,2,643
165,149,154
166,153,282
174,17,178
184,3,23
160,54,151
158,53,127
155,106,74
107,90,19
129,81,12
132,110,26
124,51,13
149,61,45
58,39,3
131,35,17
78,22,4
161,122,155
87,3,31
110,55,9
165,43,173
182,83,1
179,35,5
125,63,11
171,17,254
152,76,48
161,27,144
145,140,95
93,88,27
160,151,117
111,71,20
127,103,20
105,1,151
158,65,138
156,89,101
146,26,33
168,42,135
168,145,296
167,127,147
117,17,14
165,152,221
177,163,146
153,6,87
152,8,67
154,55,80
124,122,124
139,131,48
139,14,26
142,141,320
127,14,18
133,109,14
139,138,319
140,1,328
134,21,22
128,115,14
139,8,44
134,20,33
133,111,23
127,124,103
129,3,122
130,110,26
134,23,21
136,121,24
139,1,308
134,13,17
137,24,25
137,113,20
