GeneID,Exp_leaf,Exp_bud
MgIM767.02G082900,269.117572281104,142.962468525829
MgIM767.14G281400,268.404005885814,293.675944788721
MgIM767.14G082700,268.371098009626,428.476113801938
MgIM767.08G174000,267.416426779127,132.511611385936
MgIM767.04G030500,267.391803345224,6.88391344490791
MgIM767.12G010400,266.749081888607,888.695248984035
MgIM767.04G044900,265.765541765084,112.110579666109
MgIM767.10G139300,265.758322447703,200.169810626798
MgIM767.07G073700,264.426276880322,947.148396891983
MgIM767.04G201600,264.182959382398,60.9334181061043
MgIM767.12G143700,263.834217857394,238.919149630473
MgIM767.04G204300,263.798078497828,508.787982328489
MgIM767.01G039100,262.495608448533,53.2053767801125
MgIM767.10G082700,260.309654009454,41.8385011227116
MgIM767.12G021900,260.265527806617,85.436599718243
MgIM767.13G184800,260.071951524294,563.064895790963
MgIM767.05G138200,259.292076955769,265.882821058068
MgIM767.12G060800,259.283464232708,122.618062343566
MgIM767.08G190800,259.251605181962,98.6700689032683
MgIM767.06G077600,259.094595756163,141.347453857118
MgIM767.12G177600,259.089292376173,114.591841212424
MgIM767.04G080700,258.674140113943,198.103844679308
MgIM767.04G171000,258.398898685307,447.360402544952
MgIM767.08G198200,257.337824951217,450.574218061035
MgIM767.10G160200,257.237037629459,785.597619441407
MgIM767.11G125900,256.935259387545,27.0771868400079
MgIM767.11G119600,256.788516016659,381.942446628662
MgIM767.04G207100,255.894874274033,39.2451938436931
MgIM767.11G098600,255.109573944241,92.0593669167027
MgIM767.09G007900,254.988474332494,115.661555810239
MgIM767.13G193200,254.890815085034,19.6373219808425
MgIM767.06G011500,254.402149287157,620.027941306697
MgIM767.04G014300,254.042233104172,104.242129565279
MgIM767.14G183300,252.400321340275,21.0247216070665
MgIM767.14G247500,252.049390021485,503.327701516611
